ordering,reachability,predecessor_,core_distances
3353,1.111775920931028,366,1.453258104510691
3636,1.29741116892829,6456,1.672334937198868
2308,1.183147490194772,2069,1.87423493045276
3959,1.109604368650046,4745,1.310844401706112
7229,1.194806395070544,723,1.20439583924344
5944,0.892886126272224,5382,1.283954734655709
5330,1.205307434962964,4170,1.664279429274436
6443,0.759547788302904,5748,1.152769626817559
6067,3.032972368428896,5856,4.806759247641348
1496,1.245600073212959,5104,1.694963400761128
6890,1.267768502636384,4313,1.432709656375439
6895,0.493211806266057,4916,0.857937392254558
7162,1.194806395070544,723,1.352073200572944
7166,0.654169219262361,2677,1.013295428936354
261,0.065846410623445,13,0.065846410623445
1581,1.128545119814192,5491,1.393707273884502
6329,1.866190049403338,4448,2.144452773366616
7182,1.191693827685523,596,1.5879935898364
271,0.0,13,0.0
4139,0.727459830144367,6137,1.203077687849684
5163,1.455785953674651,2821,2.097457498395051
684,0.260546902506788,1600,0.50800417346486
1583,1.216733534873049,6662,1.563832066608441
2150,0.407205498750026,1556,0.795102241125876
1293,1.194806395070544,723,1.258123308105604
334,1.422951986310515,2429,2.186557191442615
7049,0.401272888891951,1686,0.722890105306987
2005,1.465709351470157,6139,2.305541393291774
3729,0.755785462519838,5335,1.029076272787059
4426,1.501398447905378,5933,2.291775778779271
4624,0.778154495143558,6040,1.065361068461563
5576,1.718422112457068,2368,2.470301698005516
1770,0.624643143547559,3466,0.937485057774294
2661,0.648624116715916,2319,1.065726059529377
5761,1.551160707847221,625,2.170421740761599
2724,0.692180601937136,6434,0.9902512956576
6834,1.791919064341758,3578,2.803554204318081
6728,1.109552931384124,3567,1.116669322865902
7026,0.0,13,0.0
5812,1.653457240168401,7220,2.220357081203115
1985,0.214670479691709,1001,0.428112109267904
6710,0.55228285772502,4759,0.722060098511232
1278,1.10183178634677,2527,1.606865024996766
1185,0.86419821112564,2721,1.323195518230361
6702,1.629300633943606,1156,2.391810614732754
7235,0.0,13,0.0
1610,1.194806395070544,723,1.291232061760826
294,0.463331878202654,1873,0.917042215893666
6430,1.423238220472346,4150,1.914206078876317
1286,1.631904687211568,6175,2.47316665519164
4512,0.696216531718145,2800,0.804181433924298
153,0.696216531718145,2800,0.804181433924298
1826,0.632943052942648,6635,1.013992805644042
5432,1.109553013517581,4265,1.118633726908924
2294,0.217163774891477,2154,0.347187639727762
356,0.0,13,0.0
5276,1.898098085386798,5239,3.037107390391103
3429,1.123244165974823,2129,1.52984637544529
444,0.778154495143558,6040,1.030630764664896
578,0.0,13,0.0
2503,0.0,13,0.0
2710,0.697546985066374,1182,1.081926381394217
494,0.0,13,0.0
722,1.305165687110206,2216,1.869399654224276
930,1.194806395070544,723,1.302279142157678
1471,1.129272467853489,6728,1.713864991735972
1850,1.036628782271119,3594,1.64775948540489
1883,0.0,13,0.0
4185,0.471725617412476,457,0.848146616866559
4593,0.834918514068595,5548,1.440971728375223
4902,0.013966139848219,146,0.026853082352946
5088,0.705629784205394,6633,0.985941202922891
3435,1.234732147261392,995,1.474171071345792
2433,1.109604368650046,4745,1.224631360024678
5567,3.206246474097842,4066,4.872450969668073
1419,0.177683386885255,6191,0.35442766726389
86,0.0,13,0.0
2408,1.55542425625388,3954,2.498086165376052
2463,0.551499593158422,7104,0.84278985356676
2639,0.219551527600381,6753,0.404335785079007
2925,0.697389895329015,2224,1.01689504340391
5227,1.523094702697989,2709,2.124553403173446
5756,0.012001190464653,1160,0.021309366566393
343,0.12336192013939,6133,0.244174650999602
1794,1.695105862397897,1337,2.277578229200641
1090,1.159485119142339,322,1.567153470771077
610,0.628278604404084,3772,0.93841725935916
6364,0.481089533814077,1710,0.794103771630229
3579,0.523494017187954,4660,0.798163120847108
229,1.11065854968785,677,1.585061826274453
329,1.321630564886796,773,1.766721948069009
355,0.52398831255086,6772,0.799000205842467
372,1.267768502636384,4313,1.510965057630318
400,0.508743076951889,796,0.764933394127331
501,1.993938231225005,3998,3.080288973659676
502,0.903724033022372,3009,1.397288135876989
533,1.116695630778353,306,1.43529140568689
575,0.766488691063187,649,1.183147490194772
774,0.0,13,0.0
807,0.0,13,0.0
812,2.288376028476976,4711,3.305507076041849
838,0.693648900180984,3195,0.962158593638824
921,1.753020187557038,6726,2.726664500470366
927,1.210873989262955,2775,1.785245515561404
967,1.453965397861824,6755,2.14692577133347
971,1.11644087674281,3035,1.3874017273104
973,1.109562613215532,698,1.200919441428092
983,1.21760341211618,5322,1.613654544913551
986,1.503722067749185,5136,2.112771304583942
1042,0.177683386885255,6191,0.352906923518563
1115,0.0,13,0.0
1118,0.0,13,0.0
1132,0.791387559847474,5925,1.366436164888284
1196,0.349103593088298,6442,0.663067979772493
1267,1.141094530573383,4894,1.505224290509601
1294,0.0,13,0.0
1430,0.747576586937771,5335,0.892723156261659
1435,0.0,13,0.0
1497,1.300557983061184,6965,2.014210924989651
1503,1.828992431818552,1899,2.84071376618022
1531,1.37785613382564,1751,1.907022210810594
1614,0.892723156261659,2088,1.363814171559534
1625,1.799071271883015,5256,2.818580117482998
1719,2.171599900492188,7214,3.210901742700514
1724,0.349103593088298,6442,0.607965280201612
1799,0.681989335777603,391,0.898904500570255
1846,1.29699267454431,6864,1.952881249192918
1942,2.189679061067111,90,4.137448784489602
2097,0.128615779158053,5071,0.255166972436688
2203,0.253873801826962,3596,0.441597940792596
2215,0.105142020477896,1281,0.197345328210459
2262,1.10972103276951,1833,1.340144498681106
2283,1.198029492383382,5884,1.367918830785726
